Square_ID,Model,timestamp,actual,predicted,abs_error,day_of_week,is_weekend
5161,TCN,2013-12-17 15:00:00,3876.9597,2910.2841796875,966.675537109375,Tuesday,False
5161,TCN,2013-12-21 18:30:00,2649.7197,1728.15966796875,921.56005859375,Saturday,True
5161,TCN,2013-12-21 18:50:00,2318.0325,1428.5498046875,889.482666015625,Saturday,True
5161,TCN,2013-12-21 18:40:00,2409.6824,1544.4805908203125,865.2017822265625,Saturday,True
5161,TCN,2013-12-17 18:10:00,2951.324,2088.910400390625,862.41357421875,Tuesday,False
5161,TCN,2013-12-18 12:20:00,3527.2244,2668.627197265625,858.59716796875,Wednesday,False
5161,TCN,2013-12-17 12:10:00,3291.7275,2452.652099609375,839.075439453125,Tuesday,False
5161,TCN,2013-12-18 12:30:00,3725.421,2888.857421875,836.5634765625,Wednesday,False
5161,TCN,2013-12-17 12:20:00,3444.106,2624.962158203125,819.143798828125,Tuesday,False
5161,TCN,2013-12-20 15:40:00,3529.7249,2723.841552734375,805.88330078125,Friday,False
5161,TCN,2013-12-21 19:00:00,2096.1624,1315.8927001953125,780.2696533203125,Saturday,True
5161,TCN,2013-12-21 11:00:00,3289.7625,2520.401611328125,769.36083984375,Saturday,True
5161,TCN,2013-12-22 10:30:00,2781.1304,2035.8548583984373,745.2755126953125,Sunday,True
5161,TCN,2013-12-16 12:40:00,3057.33,2314.390625,742.939453125,Monday,False
5161,TCN,2013-12-22 15:20:00,5496.4404,4764.3701171875,732.0703125,Sunday,True
